archetype_id;usage_type_tabula;usage_type_statistik;usage_simplified;building_period;building_status;energy_carrier_primary;Af_m2;Aroof_m2;GFA_m2;Aocc_m2;people0;E_final_heating_MWhyr;E_final_dhw_MWhyr;E_final_cooling_MWhyr;E_final_user_MWhyr;Q_use_heating_MWhyr;Q_use_dhw_MWhyr;Q_use_cooling_MWhyr;Q_use_user_MWhyr
EFH I_Bis 1919_fossil;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;bis 1919;original;fossil;210.08000000000004;103.9;366.5;208.0;2.97;78.61211075086375;8.535414404076999;0.0;9.00244716287099;62.889688600691;6.8283315232616;0.0;9.00244716287099
EFH II_1920-44_fossil;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1920-44;original;fossil;210.08000000000004;103.9;366.5;208.0;2.97;64.09979074752337;8.49205552921675;0.0;9.00244716287099;51.2798325980187;6.7936444233734;0.0;9.00244716287099
EFH III_1945-59_fossil;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1945-59;original;fossil;210.08000000000004;103.9;366.5;208.0;2.97;58.55616877145075;8.498683002193925;0.0;9.00244716287099;46.8449350171606;6.79894640175514;0.0;9.00244716287099
EFH IV_1960-79_fossil;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1960-79;original;fossil;210.08000000000004;103.9;366.5;208.0;2.97;47.74075504400775;8.467250587963774;0.0;9.00244716287099;38.1926040352062;6.77380047037102;0.0;9.00244716287099
EFH V_1980-89_fossil;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1980-89;original;fossil;210.08000000000004;103.9;366.5;208.0;2.97;53.573437097517996;8.481319266348212;0.0;9.00244716287099;42.8587496780144;6.78505541307857;0.0;9.00244716287099
EFH VI_1990-99_fossil;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1990-99;original;fossil;210.08000000000004;103.9;366.5;208.0;2.97;25.083652805615497;8.308799577727125;0.0;9.00244716287099;20.0669222444924;6.6470396621817;0.0;9.00244716287099
EFH VII_2000-20_fossil;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;2000-20;original;fossil;210.08000000000004;103.9;366.5;208.0;2.97;15.725221431978888;7.520946827432822;0.2382458479672212;9.00244716287099;14.152699288781;6.76885214468954;0.595614619918053;9.00244716287099
EFH VIII_>2020_fossil;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;ab 2020;original;fossil;210.08000000000004;103.9;366.5;208.0;2.97;4.8446282810789185;6.840804133256571;0.559045834668308;9.00416480479757;4.74773571545734;6.70398805059144;1.39761458667077;9.00416480479757
RH I_Bis 1919_fossil;Reihenhaus;Wohngebäude mit zwei Wohnungen;residential;bis 1919;original;fossil;703.1840000000001;248.8;1127.78;697.12;18.05;409.34088867345747;81.40096693592974;0.0;77.658259198774;327.472710938766;65.1207735487438;0.0;77.658259198774
RH II_1920-44_fossil;Reihenhaus;Wohngebäude mit zwei Wohnungen;residential;1920-44;original;fossil;703.1840000000001;248.8;1127.78;697.12;18.05;409.9534201376487;81.40283509458826;0.0;77.658259198774;327.962736110119;65.1222680756706;0.0;77.658259198774
